pc_timestamp,arduino_time_s,humidity_rh
2026-05-18T14:41:56,1.01,43.57
2026-05-18T14:41:57,2.01,43.6
2026-05-18T14:41:58,3.01,43.59
2026-05-18T14:41:59,4.01,43.55
2026-05-18T14:42:00,5.01,43.6
2026-05-18T14:42:01,6.01,43.57
2026-05-18T14:42:02,7.01,43.55
2026-05-18T14:42:03,8.01,43.56
2026-05-18T14:42:04,9.01,43.57
2026-05-18T14:42:05,10.01,43.61
2026-05-18T14:42:06,11.01,43.56
2026-05-18T14:42:07,12.01,43.57
2026-05-18T14:42:08,13.01,43.56
2026-05-18T14:42:09,14.01,43.6
2026-05-18T14:42:10,15.01,43.58
2026-05-18T14:42:11,16.01,43.57
2026-05-18T14:42:12,17.01,43.6
2026-05-18T14:42:13,18.01,44.14
2026-05-18T14:42:14,19.01,45.38
2026-05-18T14:42:15,20.01,46.52
2026-05-18T14:42:16,21.01,47.38
2026-05-18T14:42:17,22.01,48.13
2026-05-18T14:42:18,23.01,48.56
2026-05-18T14:42:19,24.01,49.12
2026-05-18T14:42:20,25.01,50.47
2026-05-18T14:42:21,26.01,52.17
2026-05-18T14:42:22,27.01,53.88
2026-05-18T14:42:23,28.01,54.98
2026-05-18T14:42:24,29.01,55.92
2026-05-18T14:42:25,30.01,56.79
2026-05-18T14:42:26,31.01,57.35
2026-05-18T14:42:27,32.01,57.64
2026-05-18T14:42:28,33.01,57.87
2026-05-18T14:42:29,34.01,58.11
2026-05-18T14:42:30,35.01,58.45
2026-05-18T14:42:31,36.01,58.76
2026-05-18T14:42:32,37.01,59.42
2026-05-18T14:42:33,38.01,60.36
2026-05-18T14:42:34,39.01,61.28
2026-05-18T14:42:35,40.01,62.31
2026-05-18T14:42:36,41.01,63.27
2026-05-18T14:42:37,42.01,64.08
2026-05-18T14:42:38,43.01,64.7
2026-05-18T14:42:39,44.01,65.12
2026-05-18T14:42:40,45.01,65.59
2026-05-18T14:42:41,46.01,66.22
2026-05-18T14:42:42,47.01,66.78
2026-05-18T14:42:43,48.01,67.32
2026-05-18T14:42:44,49.01,67.86
2026-05-18T14:42:45,50.01,68.36
2026-05-18T14:42:46,51.01,68.91
2026-05-18T14:42:47,52.01,69.36
2026-05-18T14:42:48,53.01,69.92
2026-05-18T14:42:49,54.01,70.67
2026-05-18T14:42:50,55.01,71.24
2026-05-18T14:42:51,56.01,71.69
2026-05-18T14:42:52,57.01,72.12
2026-05-18T14:42:53,58.01,72.5
2026-05-18T14:42:54,59.01,72.85
2026-05-18T14:42:55,60.01,73.18
2026-05-18T14:42:56,61.01,73.69
2026-05-18T14:42:57,62.01,74.05
2026-05-18T14:42:58,63.01,74.36
2026-05-18T14:42:59,64.01,74.59
2026-05-18T14:43:00,65.01,74.8
2026-05-18T14:43:01,66.01,74.99
2026-05-18T14:43:02,67.01,75.12
2026-05-18T14:43:03,68.01,75.23
2026-05-18T14:43:04,69.01,75.69
2026-05-18T14:43:05,70.01,76.11
2026-05-18T14:43:06,71.01,76.33
2026-05-18T14:43:07,72.01,76.62
2026-05-18T14:43:08,73.01,77.03
2026-05-18T14:43:09,74.01,77.53
2026-05-18T14:43:10,75.01,77.97
2026-05-18T14:43:11,76.01,78.46
2026-05-18T14:43:12,77.01,79.05
2026-05-18T14:43:13,78.01,79.67
2026-05-18T14:43:14,79.01,80.02
2026-05-18T14:43:15,80.01,80.28
2026-05-18T14:43:16,81.01,80.61
2026-05-18T14:43:17,82.01,80.89
2026-05-18T14:43:18,83.01,81.07
2026-05-18T14:43:19,84.01,81.4
2026-05-18T14:43:20,85.01,81.99
2026-05-18T14:43:21,86.01,82.42
2026-05-18T14:43:22,87.01,82.57
2026-05-18T14:43:23,88.01,82.43
2026-05-18T14:43:24,89.01,82.17
2026-05-18T14:43:25,90.01,81.79
2026-05-18T14:43:26,91.01,81.31
2026-05-18T14:43:27,92.01,80.57
2026-05-18T14:43:28,93.01,79.69
2026-05-18T14:43:29,94.01,78.91
2026-05-18T14:43:30,95.01,78.21
2026-05-18T14:43:31,96.01,77.6
2026-05-18T14:43:32,97.01,76.97
2026-05-18T14:43:33,98.01,76.44
2026-05-18T14:43:34,99.01,75.97
2026-05-18T14:43:35,100.01,75.38
2026-05-18T14:43:36,101.01,74.56
2026-05-18T14:43:37,102.01,73.55
2026-05-18T14:43:38,103.01,72.53
2026-05-18T14:43:39,104.01,71.54
2026-05-18T14:43:40,105.01,70.45
2026-05-18T14:43:41,106.01,69.12
2026-05-18T14:43:42,107.01,67.59
2026-05-18T14:43:43,108.01,65.93
2026-05-18T14:43:44,109.01,64.14
2026-05-18T14:43:45,110.01,62.4
2026-05-18T14:43:46,111.01,60.8
2026-05-18T14:43:47,112.01,59.43
2026-05-18T14:43:48,113.01,58.21
2026-05-18T14:43:49,114.01,57.3
2026-05-18T14:43:50,115.01,56.58
2026-05-18T14:43:51,116.01,56.02
2026-05-18T14:43:52,117.01,55.53
2026-05-18T14:43:53,118.01,55.17
2026-05-18T14:43:54,119.01,54.84
2026-05-18T14:43:55,120.01,54.53
2026-05-18T14:43:56,121.01,54.23
2026-05-18T14:43:57,122.01,53.81
2026-05-18T14:43:58,123.01,53.34
2026-05-18T14:43:59,124.01,52.98
2026-05-18T14:44:00,125.01,52.65
2026-05-18T14:44:01,126.01,52.34
2026-05-18T14:44:02,127.01,52.07
2026-05-18T14:44:03,128.01,51.8
2026-05-18T14:44:04,129.01,51.52
2026-05-18T14:44:05,130.01,51.21
2026-05-18T14:44:06,131.01,50.92
2026-05-18T14:44:07,132.01,50.68
2026-05-18T14:44:08,133.01,50.4
2026-05-18T14:44:09,134.01,50.14
2026-05-18T14:44:10,135.01,49.86
2026-05-18T14:44:11,136.01,49.64
2026-05-18T14:44:12,137.01,49.51
2026-05-18T14:44:13,138.01,49.38
2026-05-18T14:44:14,139.01,49.23
2026-05-18T14:44:15,140.01,49.05
2026-05-18T14:44:16,141.01,48.86
2026-05-18T14:44:17,142.01,48.69
2026-05-18T14:44:18,143.01,48.55
2026-05-18T14:44:19,144.01,48.42
2026-05-18T14:44:20,145.01,48.21
2026-05-18T14:44:21,146.01,48.08
2026-05-18T14:44:22,147.01,47.96
2026-05-18T14:44:23,148.01,47.95
2026-05-18T14:44:24,149.01,47.85
2026-05-18T14:44:25,150.01,47.83
2026-05-18T14:44:26,151.01,47.76
2026-05-18T14:44:27,152.01,47.75
2026-05-18T14:44:28,153.01,47.7
2026-05-18T14:44:29,154.01,47.63
2026-05-18T14:44:30,155.01,47.61
2026-05-18T14:44:31,156.01,47.59
2026-05-18T14:44:32,157.01,47.53
2026-05-18T14:44:33,158.01,47.5
2026-05-18T14:44:34,159.01,47.49
2026-05-18T14:44:35,160.01,47.44
2026-05-18T14:44:36,161.01,47.35
2026-05-18T14:44:37,162.01,47.27
2026-05-18T14:44:38,163.01,47.19
2026-05-18T14:44:39,164.01,47.08
2026-05-18T14:44:40,165.01,46.99
2026-05-18T14:44:41,166.01,46.88
2026-05-18T14:44:42,167.01,46.81
2026-05-18T14:44:43,168.01,46.74
2026-05-18T14:44:44,169.01,46.66
2026-05-18T14:44:45,170.01,46.6
2026-05-18T14:44:46,171.01,46.54
2026-05-18T14:44:47,172.01,46.52
2026-05-18T14:44:48,173.01,46.51
2026-05-18T14:44:49,174.01,46.51
2026-05-18T14:44:50,175.01,46.44
2026-05-18T14:44:51,176.01,46.35
2026-05-18T14:44:52,177.01,46.35
2026-05-18T14:44:53,178.01,46.3
2026-05-18T14:44:54,179.01,46.26
2026-05-18T14:44:55,180.01,46.27
2026-05-18T14:44:56,181.01,46.21
2026-05-18T14:44:57,182.01,46.21
2026-05-18T14:44:58,183.01,46.16
2026-05-18T14:44:59,184.01,46.14
